cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+01
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 3.642578E-01  -1.309187E-07   1.357422E-01
 3.637695E-01  -1.334212E-07   1.362305E-01
 3.632812E-01  -1.359900E-07   1.367188E-01
 3.627930E-01  -1.386010E-07   1.372070E-01
 3.623047E-01  -1.412663E-07   1.376953E-01
 3.618164E-01  -1.439799E-07   1.381836E-01
 3.613281E-01  -1.467296E-07   1.386719E-01
 3.608398E-01  -1.495396E-07   1.391602E-01
 3.603516E-01  -1.524219E-07   1.396484E-01
 3.598633E-01  -1.553526E-07   1.401367E-01
 3.593750E-01  -1.583374E-07   1.406250E-01
 3.588867E-01  -1.613766E-07   1.411133E-01
 3.583984E-01  -1.644640E-07   1.416016E-01
 3.579102E-01  -1.676177E-07   1.420898E-01
 3.574219E-01  -1.708438E-07   1.425781E-01
 3.569336E-01  -1.741181E-07   1.430664E-01
 3.564453E-01  -1.774588E-07   1.435547E-01
 3.559570E-01  -1.808718E-07   1.440430E-01
 3.554688E-01  -1.843451E-07   1.445312E-01
 3.549805E-01  -1.878787E-07   1.450195E-01
 3.544922E-01  -1.914968E-07   1.455078E-01
 3.540039E-01  -1.951751E-07   1.459961E-01
 3.535156E-01  -1.989077E-07   1.464844E-01
 3.530273E-01  -2.027308E-07   1.469727E-01
 3.525391E-01  -2.066202E-07   1.474609E-01
 3.520508E-01  -2.105819E-07   1.479492E-01
 3.515625E-01  -2.146221E-07   1.484375E-01
 3.510742E-01  -2.187466E-07   1.489258E-01
 3.505859E-01  -2.229375E-07   1.494141E-01
 3.500977E-01  -2.272189E-07   1.499023E-01
 3.496094E-01  -2.315846E-07   1.503906E-01
 3.491211E-01  -2.360288E-07   1.508789E-01
 3.486328E-01  -2.405634E-07   1.513672E-01
 3.481445E-01  -2.451824E-07   1.518555E-01
 3.476562E-01  -2.498859E-07   1.523438E-01
 3.471680E-01  -2.546858E-07   1.528320E-01
 3.466797E-01  -2.595702E-07   1.533203E-01
 3.461914E-01  -2.645450E-07   1.538086E-01
 3.457031E-01  -2.696343E-07   1.542969E-01
 3.452148E-01  -2.748021E-07   1.547852E-01
 3.447266E-01  -2.800844E-07   1.552734E-01
 3.442383E-01  -2.854572E-07   1.557617E-01
 3.437500E-01  -2.909265E-07   1.562500E-01
 3.432617E-01  -2.965224E-07   1.567383E-01
 3.427734E-01  -3.022087E-07   1.572266E-01
 3.422852E-01  -3.080036E-07   1.577148E-01
 3.417969E-01  -3.139131E-07   1.582031E-01
 3.413086E-01  -3.199492E-07   1.586914E-01
 3.408203E-01  -3.260818E-07   1.591797E-01
 3.403320E-01  -3.323410E-07   1.596680E-01
 3.398438E-01  -3.387208E-07   1.601562E-01
 3.393555E-01  -3.452212E-07   1.606445E-01
 3.388672E-01  -3.518543E-07   1.611328E-01
 3.383789E-01  -3.585959E-07   1.616211E-01
 3.378906E-01  -3.654882E-07   1.621094E-01
 3.374023E-01  -3.725012E-07   1.625977E-01
 3.369141E-01  -3.796529E-07   1.630859E-01
 3.364258E-01  -3.869432E-07   1.635742E-01
 3.359375E-01  -3.943602E-07   1.640625E-01
 3.354492E-01  -4.019460E-07   1.645508E-01
 3.349609E-01  -4.096464E-07   1.650391E-01
 3.344727E-01  -4.175156E-07   1.655273E-01
 3.339844E-01  -4.255296E-07   1.660156E-01
 3.334961E-01  -4.336943E-07   1.665039E-01
 3.330078E-01  -4.420218E-07   1.669922E-01
 3.325195E-01  -4.505001E-07   1.674805E-01
 3.320312E-01  -4.591351E-07   1.679688E-01
 3.315430E-01  -4.679632E-07   1.684570E-01
 3.310547E-01  -4.769359E-07   1.689453E-01
 3.305664E-01  -4.860956E-07   1.694336E-01
 3.300781E-01  -4.954241E-07   1.699219E-01
 3.295898E-01  -5.049395E-07   1.704102E-01
 3.291016E-01  -5.146238E-07   1.708984E-01
 3.286133E-01  -5.244950E-07   1.713867E-01
 3.281250E-01  -5.345713E-07   1.718750E-01
 3.276367E-01  -5.448284E-07   1.723633E-01
 3.271484E-01  -5.552845E-07   1.728516E-01
 3.266602E-01  -5.659396E-07   1.733398E-01
 3.261719E-01  -5.768058E-07   1.738281E-01
 3.256836E-01  -5.878831E-07   1.743164E-01
 3.251953E-01  -5.991472E-07   1.748047E-01
 3.247070E-01  -6.106526E-07   1.752930E-01
 3.242188E-01  -6.223750E-07   1.757812E-01
 3.237305E-01  -6.343326E-07   1.762695E-01
 3.232422E-01  -6.465013E-07   1.767578E-01
 3.227539E-01  -6.589052E-07   1.772461E-01
 3.222656E-01  -6.715502E-07   1.777344E-01
 3.217773E-01  -6.844425E-07   1.782227E-01
 3.212891E-01  -6.975639E-07   1.787109E-01
 3.208008E-01  -7.109627E-07   1.791992E-01
 3.203125E-01  -7.246027E-07   1.796875E-01
 3.198242E-01  -7.385201E-07   1.801758E-01
 3.193359E-01  -7.527028E-07   1.806641E-01
 3.188477E-01  -7.671327E-07   1.811523E-01
 3.183594E-01  -7.818582E-07   1.816406E-01
 3.178711E-01  -7.968610E-07   1.821289E-01
 3.173828E-01  -8.121472E-07   1.826172E-01
 3.168945E-01  -8.277470E-07   1.831055E-01
 3.164062E-01  -8.436241E-07   1.835938E-01
 3.159180E-01  -8.598269E-07   1.840820E-01
 3.154297E-01  -8.763372E-07   1.845703E-01
 3.149414E-01  -8.931370E-07   1.850586E-01
 3.144531E-01  -9.102744E-07   1.855469E-01
 3.139648E-01  -9.277495E-07   1.860352E-01
 3.134766E-01  -9.455563E-07   1.865234E-01
 3.129883E-01  -9.637068E-07   1.870117E-01
