cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+02
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.826660E-01  -8.949566E-16   1.733398E-02
 4.825439E-01  -9.347324E-16   1.745605E-02
 4.824219E-01  -8.949566E-16   1.757812E-02
 4.822998E-01  -9.347324E-16   1.770020E-02
 4.821777E-01  -9.148445E-16   1.782227E-02
 4.820557E-01  -9.347324E-16   1.794434E-02
 4.819336E-01  -9.347324E-16   1.806641E-02
 4.818115E-01  -9.148445E-16   1.818848E-02
 4.816895E-01  -9.148445E-16   1.831055E-02
 4.815674E-01  -9.148445E-16   1.843262E-02
 4.814453E-01  -9.347324E-16   1.855469E-02
 4.813232E-01  -9.546204E-16   1.867676E-02
 4.812012E-01  -9.347324E-16   1.879883E-02
 4.810791E-01  -9.148445E-16   1.892090E-02
 4.809570E-01  -9.546204E-16   1.904297E-02
 4.808350E-01  -9.546204E-16   1.916504E-02
 4.807129E-01  -9.546204E-16   1.928711E-02
 4.805908E-01  -9.546204E-16   1.940918E-02
 4.804688E-01  -9.546204E-16   1.953125E-02
 4.803467E-01  -9.745083E-16   1.965332E-02
 4.802246E-01  -9.347324E-16   1.977539E-02
 4.801025E-01  -9.745083E-16   1.989746E-02
 4.799805E-01  -9.745083E-16   2.001953E-02
 4.798584E-01  -9.347324E-16   2.014160E-02
 4.797363E-01  -9.943962E-16   2.026367E-02
 4.796143E-01  -9.943962E-16   2.038574E-02
 4.794922E-01  -9.745083E-16   2.050781E-02
 4.793701E-01  -9.745083E-16   2.062988E-02
 4.792480E-01  -9.745083E-16   2.075195E-02
 4.791260E-01  -9.943962E-16   2.087402E-02
 4.790039E-01  -9.943962E-16   2.099609E-02
 4.788818E-01  -9.943962E-16   2.111816E-02
 4.787598E-01  -9.943962E-16   2.124023E-02
 4.786377E-01  -1.034172E-15   2.136230E-02
 4.785156E-01  -1.014284E-15   2.148438E-02
 4.783936E-01  -1.014284E-15   2.160645E-02
 4.782715E-01  -1.014284E-15   2.172852E-02
 4.781494E-01  -1.034172E-15   2.185059E-02
 4.780273E-01  -1.034172E-15   2.197266E-02
 4.779053E-01  -1.034172E-15   2.209473E-02
 4.777832E-01  -1.034172E-15   2.221680E-02
 4.776611E-01  -1.034172E-15   2.233887E-02
